y,time,logy,logy_cycle,logy_trend,logy_sa,y_sa,logy_sa_cycle,logy_sa_trend
5200478569.333333,1997-01-01,22.37201649086316,0.017024330824813916,22.354992160038346,22.381306186782627,5249014526.974316,,
4906537835.333333,1997-04-01,22.313834404848457,-0.03700967243057107,22.350844077279028,22.36251140319119,5151281745.056552,,
5022150862.0,1997-07-01,22.337124137453625,-0.008985452809515238,22.34610959026314,22.363543936312606,5156603360.975633,,
5419588434.0,1997-10-01,22.413285714828437,0.07236360831866406,22.340922106509773,22.370407735550764,5192118997.863373,,
5390190073.666667,1998-01-01,22.40784648537666,0.07243706774663394,22.335409417630025,22.3739632804134,5210612667.946323,,
5001055385.666667,1998-04-01,22.3329148042402,0.0031702617500073416,22.329744542490193,22.37055300236929,5192873295.257476,,
5069398948.666667,1998-07-01,22.346488096962986,0.022342323839076528,22.32414577312391,22.360825604709188,5142605037.75525,,
5224576249.666667,1998-10-01,22.376639530966195,0.05780614798779027,22.318833382978404,22.34999888581001,5087227816.338964,,
5172766496.0,1999-01-01,22.36667348795808,0.052631878504779905,22.3140416094533,22.338471776296384,5028923470.0656805,,
4778889577.333333,1999-04-01,22.28747405046535,-0.022566768325379627,22.31004081879073,22.31807225284828,4927375118.318519,,
4837732589.333333,1999-07-01,22.299711974628824,-0.007422297528062671,22.307134272156887,22.275635908026032,4722649944.995493,,
4650401820.0,1999-10-01,22.260219465715522,-0.045391660772263975,22.305611126487786,22.223783111683087,4484007934.5650215,,
4138514709.6666665,2000-01-01,22.143602794630795,-0.162153105152683,22.305755899783478,22.183844608111983,4308452414.89617,,
3945029910.3333335,2000-04-01,22.09572237304905,-0.2121023672069846,22.307824740256034,22.164790318676342,4227135097.6929502,,
4257532582.6666665,2000-07-01,22.171955623476336,-0.1400168269504647,22.3119724504268,22.179114469336216,4288120960.274206,,
4537043844.666667,2000-10-01,22.23554150138288,-0.08267976745475991,22.31822126883764,22.216377571269422,4450924085.679036,,
4756956758.333333,2001-01-01,22.282873964242423,-0.04363195927114205,22.326505923513565,22.255089059021817,4626604464.627538,,
4624138956.0,2001-04-01,22.254556018903028,-0.08215344872188624,22.336709467624914,22.292202730986126,4801540932.692249,,
4950794371.0,2001-07-01,22.322813879641533,-0.025873804725957683,22.34868768436749,22.325196104349743,4962602334.703128,,
5250518239.333333,2001-10-01,22.381592620932178,0.019347609900542295,22.362245011031636,22.35380456892326,5106625079.840697,,
5352180214.666667,2002-01-01,22.400769831602048,0.023600117822315525,22.377169713779733,22.380723229882204,5245955469.471365,,
5166843865.333333,2002-04-01,22.36552786813152,-0.027734282898837392,22.393262151030356,22.404302120302486,5371119089.456559,,
5495477499.333333,2002-07-01,22.427191318084596,0.01685388680888522,22.41033743127571,22.424122481383392,5478638627.38223,,
5712064225.333333,2002-10-01,22.465846305851386,0.03765297677018964,22.428193329081196,22.445824980838516,5598838378.9411545,,
5765046377.666667,2003-01-01,22.475079035330072,0.028440882638616216,22.446638152691456,22.467423456925612,5721080121.408599,,
5706311386.666667,2003-04-01,22.464838660044503,-0.0006650834171288977,22.465503743461632,22.48662846790715,5832015374.655815,,
5914473591.333333,2003-07-01,22.50066833486838,0.016028616569883525,22.484639718298496,22.505031321677727,5940334736.490506,,
6188814439.333333,2003-10-01,22.54600937691991,0.0421140984882129,22.503895278431695,22.522769314573146,6046644424.696401,,
6164906421.333333,2004-01-01,22.542138794426158,0.019009151449942863,22.523129642976215,22.54375031372596,6174849296.428524,,
6149784294.666667,2004-04-01,22.539682844111788,-0.0025455082467971124,22.542228352358585,22.565407737231165,6310039271.86881,,
6490933175.666667,2004-07-01,22.593672144023575,0.032583316298612885,22.561088827724962,22.58432002207908,6430512149.853893,,
6705976333.333333,2004-10-01,22.62626495580637,0.04665805652750521,22.579606899278865,22.60155121616063,6542277714.435748,,
6618810409.666667,2005-01-01,22.613181494323015,0.015482732526525211,22.59769876179649,22.617444671975324,6647087807.24702,,
6574666536.666667,2005-04-01,22.606489696867314,-0.008820074472048134,22.615309771339362,22.6360465794284,6771893532.882491,,
6894659323.666667,2005-07-01,22.654012937785602,0.021617977108768116,22.632394960676834,22.65830049816265,6924284055.325845,,
7326321767.666667,2005-10-01,22.71473942166894,0.06583557163722631,22.648903850031715,22.676809588141953,7053639686.520981,,
7238923745.333333,2006-01-01,22.702738378334455,0.03793890747193984,22.664799470862516,22.691030876640237,7154668206.627361,,
6970867616.666667,2006-04-01,22.665005532690326,-0.015080469169703292,22.68008600186003,22.700778309007642,7224748849.368528,,
7286341535.0,2006-07-01,22.709267409948847,0.014476076416634953,22.694791333532212,22.701071214033586,7226865324.565671,,
7494718492.666667,2006-10-01,22.737464408444925,0.02853047735113634,22.70893393109379,22.696220682790962,7191896066.823253,,
7092875253.666667,2007-01-01,22.682356631766062,-0.04018467554118388,22.722541307307246,22.69290908770186,7168118811.178302,,
